@relation te3

@attribute c0 numeric
@attribute c1 numeric
@attribute c2 numeric
@attribute c3 numeric
@attribute c4 numeric
@attribute c5 numeric
@attribute c6 numeric
@attribute c7 numeric

@data

0,2.351472,-40.030639,-19.83577,3.725121,-21.186184,500,1
0,-28.1803,7.432304,8.875768,1.872836,-28.685102,500,1
0,-38.272877,-10.889554,-10.432724,-19.301763,-1.961022,500,1
0,-25.634293,40.792928,29.404244,31.109202,30.710473,500,1
0,-24.438369,-4.859525,9.824865,-5.304215,-24.088985,500,1
0,18.604514,6.888224,-33.661635,25.219946,-0.401229,500,1
0,-6.098881,1.621826,-8.120739,9.93893,-20.880667,500,1
0,12.43838,-23.604975,1.863417,4.017178,1.255297,500,1
0,25.794809,-29.810572,16.821323,23.032207,14.34669,500,1
0,-50.644915,-16.541224,-15.866875,-6.221171,-27.950262,500,1
0,-13.320702,14.307887,-38.64206,45.924176,-1.473247,500,1
0,-28.413268,-8.712455,5.879772,-20.259789,-3.604628,500,1
0,-17.240586,-21.801623,-14.79432,-24.710893,-12.571948,500,1
0,8.829395,-21.202736,6.874754,1.039434,-22.749605,500,1
0,-12.283936,17.21035,9.956956,-10.694856,39.511469,500,1
0,37.972032,0.770938,-17.135491,49.227396,-6.77798,500,1
0,-32.598798,6.321265,22.742862,48.184059,-3.377206,500,1
0,13.506545,7.452926,-23.423876,9.791827,-12.585208,500,1
0,-37.488361,-39.764259,-10.712844,30.598733,10.150014,500,1
0,-25.768939,6.485641,1.255339,30.734167,-8.388161,500,1
0,0.402694,6.609821,-31.438086,-1.102135,-15.346241,500,1
0,-30.896408,-1.448146,-31.252132,16.263504,-19.961371,500,1
0,-28.399312,19.954832,9.249931,4.572585,-14.109922,500,1
0,-5.811368,-1.434903,15.124922,-15.646315,-22.326864,500,1
0,-5.983571,5.528171,15.295407,28.961463,7.850789,500,1
0,-8.888405,16.588138,1.258693,32.176988,-30.132127,500,0
0,19.682881,-3.670529,-11.337064,14.147908,21.283632,500,0
0,20.912146,-0.415915,-11.736694,-6.260179,-11.94997,500,0
0,25.745522,-2.321617,-15.729812,-12.588452,14.525458,500,0
0,1.221188,-49.2671,-16.933886,14.235572,4.212828,500,0
0,-16.657102,-14.414699,-18.311629,-21.631252,20.169497,500,0
0,-2.309166,-11.313892,-18.30748,4.283076,-10.035465,500,0
0,33.267596,25.81756,34.257202,-11.941272,7.808553,500,0
0,13.78961,20.324573,-5.08384,25.009395,-42.635032,500,0
0,-15.460319,23.683986,-8.617252,-24.031119,4.597345,500,0
0,28.070029,2.470955,-17.302897,11.171094,7.561961,500,0
0,3.819651,-19.068855,-2.68099,-0.002194,18.065767,500,0
0,-37.862131,-11.878811,21.183889,-20.843803,14.227568,500,0
0,-0.533854,-43.944553,1.980677,8.121169,22.116172,500,0
0,-26.410228,10.412712,13.248111,41.054135,-13.513608,500,0
0,-14.600875,7.925225,14.31379,13.747323,-24.759323,500,0
0,11.063168,8.154627,-9.547834,14.462187,32.046545,500,0
0,-31.968606,-1.576021,10.962893,14.969601,-10.75633,500,0
0,-10.346365,20.050486,1.388249,-11.479858,-4.488891,500,0
0,-10.349453,5.709375,9.013256,46.527361,8.003931,500,0
0,-17.840304,-33.157003,-40.43774,2.025729,26.900571,500,0
0,42.083427,-5.700438,-17.354164,-8.994062,-6.509531,500,0
0,15.058061,-27.843825,-34.269902,4.972447,-19.568328,500,0
0,39.379119,1.556418,-1.431433,1.719728,-44.726393,500,0
0,2.902772,0.371093,-17.522456,-17.735023,41.796929,500,0
